osm_type,osm_id,key,value,name,lat,lon,addr:street,addr:housenumber,brand,operator,website,cuisine,opening_hours,description,barrio,comuna,ipcf_promedio_pesos,porc_hogares_bajo_lp,porc_poblacion_bajo_lp,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_desocupacion_hombres,tasa_desocupacion_mujeres,tasa_subocupacion_horaria,porc_cuenta_propia,porc_asalariados_sin_jubilacion,poblacion,superficie_km2,densidad_hab_km2,porc_poblacion_en_ciudad,porc_superficie_en_ciudad,razon_varones_por_100_mujeres,edad_promedio_anios,porc_poblacion_0_14,porc_poblacion_15_64,porc_65mas,porc_poblacion_nacida_en_ciudad,Tasa global de fecundidad (hijos/as por mujer)1 ,Tasa de mortalidad infantil (por mil nacidos/as vivos/as) 1 ,Tasa bruta de natalidad (por mil) (2023) ,Tasa bruta de mortalidad (por mil) (2023) ,tasa_crecimiento_vegetativo_2023_por_mil,porc_mujeres_14mas_sin_hijos,porc_mujeres_14mas_con_1o2_hijos,Porcentaje de mujeres de 14 años y más que tuvieron más de 2 hijos/as,tamano_medio_hogar,porc_hogares_unipersonales,porc_poblacion_14mas_unida,porc_hogares_familiares,porc_hogares_no_familiares,_name_norm,chain_count,is_chain,regex_label,manual_label,unified_label
node,4727943254,amenity,cafe,Truffa,-34.5846649,-58.4164175,,,,,,,,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,truffa,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4729314792,amenity,restaurant,Rodi-Bar,-34.5900841,-58.3919113,Vicente López,1900,,,,,,,RECOLETA,2.0,1046451.0,17.0,15.7,64.5,61.8,"4,2b", ---,"5,6b","6,5a",19.6,25.5,"149,345",6.3,23706.0,4.8,3.1,80.5,42.5,11.4,67.5,21.1,46.0,1.3,4.2,9.8,10.5,-0.7,50.4,37.0,12.6,1.8,54.2,44.9,45.6,54.4,rodi-bar,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4729430989,amenity,restaurant,Melo,-34.5923262,-58.3931431,José A. Pacheco de Melo,1831,,,,,,,RECOLETA,2.0,1046451.0,17.0,15.7,64.5,61.8,"4,2b", ---,"5,6b","6,5a",19.6,25.5,"149,345",6.3,23706.0,4.8,3.1,80.5,42.5,11.4,67.5,21.1,46.0,1.3,4.2,9.8,10.5,-0.7,50.4,37.0,12.6,1.8,54.2,44.9,45.6,54.4,melo,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4730053889,amenity,restaurant,Vegetariana,-34.6196457,-58.3726818,,,,,,,,,SAN TELMO,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,vegetariana,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4732785622,amenity,cafe,Maru Botana,-34.5917236,-58.3800311,Suipacha,1371,,,http://www.marubotana.com/,cake,Mo-Fr 08:00-20:30; Sa 09:00-20:00,,RETIRO,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,maru botana,5,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4734699124,amenity,nightclub,Abraxas discos,-34.5958175,-58.3854027,Avenida Santa Fe,1270,,,,,,,RETIRO,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,abraxas discos,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4740113322,amenity,cafe,Chungo Helados Café,-34.6390864,-58.5034612,Coronel Ramón Lorenzo Falcón,,,,,,,,VILLA LURO,10.0,678784.0,"14,0a",17.5,58.4,56.1,"3,9b", ---,"6,1b","11,0a",21.5,24.2,"170,859",12.6,13560.0,5.5,6.1,88.8,39.6,19.8,62.0,18.2,75.2,1.0,5.1,6.1,10.0,-3.9,30.0,53.2,16.8,2.5,23.6,60.9,76.2,23.8,chungo helados cafe,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4742358121,amenity,pub,Mason,-34.5942277,-58.4281707,Aráoz,1197,,,,,We-Sa 18:00-03:00,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,mason,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4744334344,amenity,cafe,Brisas,-34.5639316,-58.450643,Arcos,1717,,,,,,,BELGRANO,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,15782.0,7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7,brisas,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4746253894,amenity,cafe,Lisandro,-34.6401511,-58.5213096,,,,,,,,,LINIERS,9.0,605610.0,"24,0a",28.2,60.8,56.6,"6,9a","6,4b","7,4b","9,3a",25.6,34.4,"171,839",16.6,10352.0,5.6,8.1,94.4,38.4,19.7,63.2,17.1,68.7,1.1,8.2,6.5,9.9,-3.5,30.2,48.9,20.9,2.6,26.6,47.0,72.7,27.3,lisandro,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4749740996,amenity,cafe,Café Registrado,-34.580134,-58.4376981,Costa Rica,5901,,,http://caferegistrado.com/,,Mo-Su 08:00-20:00,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,cafe registrado,5,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4752912933,amenity,restaurant,Pizzería Hawaian Love,-34.6400768,-58.4991069,Rafaela,,,,,pizza;sandwich;diner;burger,,,VILLA LURO,10.0,678784.0,"14,0a",17.5,58.4,56.1,"3,9b", ---,"6,1b","11,0a",21.5,24.2,"170,859",12.6,13560.0,5.5,6.1,88.8,39.6,19.8,62.0,18.2,75.2,1.0,5.1,6.1,10.0,-3.9,30.0,53.2,16.8,2.5,23.6,60.9,76.2,23.8,pizzeria hawaian love,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4755559022,amenity,bar,La Calle,-34.5912768,-58.4329577,Coronel Niceto Vega,4942,,,,,,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,la calle,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4762072021,amenity,restaurant,Ovidio,-34.5652708,-58.4527541,,,,,,,,,BELGRANO,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,15782.0,7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7,ovidio,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4785132921,amenity,cafe,Paladar Negro,-34.5854073,-58.4213498,,,,,,,,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,paladar negro,1,False,Sin motivo claro / nombre genérico,Folklore y cultura local argentina,Sin motivo claro / nombre genérico
node,4786488708,amenity,pub,Cervelar,-34.5587334,-58.457897,,,,,www.cervelar.com.ar,,"11:00-12:00; Fr,Sa 11:00-02:00",,BELGRANO,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,15782.0,7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7,cervelar,3,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4793502621,amenity,restaurant,Edelwisse,-34.6039948,-58.3838076,Libertad,,,,,german,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,edelwisse,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4795380821,amenity,restaurant,Alicia,-34.6015278,-58.5118693,Asunción,4102,,,https://aliciadeluca.com/,mediterranean,,,VILLA DEVOTO,11.0,757726.0,"8,8a",13.3,63.1,58.9,"6,7a", ---,"8,2b","8,2a",28.0,"20,7a","190,195",14.1,13489.0,6.2,6.8,89.6,40.7,19.5,61.8,18.7,75.6,0.9,2.8,5.7,10.5,-4.8,31.2,50.7,18.1,2.2,39.2,48.3,60.8,39.2,alicia,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4802202749,amenity,cafe,Bar Broa,-34.5431423,-58.4782768,Deheza,4599,,,,,07:00+,,SAAVEDRA,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,13722.0,7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6,bar broa,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4806698621,amenity,restaurant,El Auge,-34.6093013,-58.3754507,,,,,,,,,MONSERRAT,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,el auge,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4810239822,amenity,restaurant,Puerta del Inca,-34.6121212,-58.3734327,,,,,,seafood,,,MONSERRAT,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,puerta del inca,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4811041022,amenity,bar,Hache,-34.5828205,-58.4387147,Ángel Justiniano Carranza,1670,,,,,,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,hache,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4818173324,amenity,cafe,El Barcito,-34.5900277,-58.4399782,,,,,,,,,VILLA CRESPO,15.0,836539.0,"13,4a",15.6,66.3,62.5,"5,7a","6,0b","5,4b","7,9a",21.4,26.4,"182,551",14.3,12766.0,5.9,6.9,88.0,39.8,16.4,66.5,17.1,68.8,1.0,5.4,7.2,9.7,-2.5,36.1,51.3,12.6,2.1,42.6,46.1,55.9,44.1,el barcito,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4833086616,amenity,cafe,Magazzino,-34.5857612,-58.3940205,Avenida Pueyrredón,2474,,,,,,,RECOLETA,2.0,1046451.0,17.0,15.7,64.5,61.8,"4,2b", ---,"5,6b","6,5a",19.6,25.5,"149,345",6.3,23706.0,4.8,3.1,80.5,42.5,11.4,67.5,21.1,46.0,1.3,4.2,9.8,10.5,-0.7,50.4,37.0,12.6,1.8,54.2,44.9,45.6,54.4,magazzino,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4837154021,amenity,restaurant,El Café de Marco,-34.6062595,-58.384379,Teniente General Juan Domingo Perón,1259,,,http://www.elcafedemarco.com.ar,,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,el cafe de marco,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4842882528,amenity,cafe,Javi's Parrilla Restaurant & Cafeteria,-34.6128037,-58.3791831,Avenida Belgrano,901,,,,,,,MONSERRAT,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,javi's parrilla restaurant & cafeteria,1,False,Folklore y cultura local argentina,,Sin motivo claro / nombre genérico
node,4844311884,amenity,restaurant,El Fondin,-34.6132435,-58.3851945,Avenida Belgrano,,,,,,,,MONSERRAT,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,el fondin,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4858736102,amenity,cafe,Havanna,-34.6047759,-58.4580793,Avenida San Martín,2182,Havanna,,,coffee_shop,08:00-20:00,,CABALLITO,6.0,883031.0,"13,4a",14.4,63.1,60.6,"4,0b", ---,"4,9b","6,5a",23.4,"18,5a","185,964",6.9,26951.0,6.0,3.4,84.8,41.3,17.1,63.7,19.2,69.9,0.9,4.1,6.0,9.7,-3.8,40.4,47.6,12.0,2.0,45.0,49.6,54.2,45.8,havanna,68,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4868679017,amenity,theatre,Belisario,-34.604367,-58.3897658,Avenida Corrientes,1624,,,,,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,belisario,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4868848547,amenity,nightclub,Uniclub,-34.6028622,-58.4121334,,,,,,,,,BALVANERA,3.0,685561.0,25.7,32.3,63.7,59.9,"5,9a","5,2b","6,8b","9,4a",19.8,26.9,"193,790",6.4,30280.0,6.3,3.1,90.1,39.2,17.4,65.8,16.8,50.5,1.1,8.2,7.7,9.7,-2.0,38.2,42.5,19.3,2.2,41.3,48.0,57.7,42.3,uniclub,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4875014396,amenity,restaurant,Pizza Factory,-34.5744898,-58.4318268,Avenida Luis María Campos,198,Pizza Factory,,http://www.pizzafactory.com.ar/,pizza,Mo-Sa 08:00-01:00; Su 17:00-01:00,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,pizza factory,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4884946122,amenity,cafe,Bonafide,-34.6347357,-58.4848956,Bolaños,1,Bonafide,,,coffee_shop,Mo-Sa 08:00-20:00,,VELEZ SARSFIELD,10.0,678784.0,"14,0a",17.5,58.4,56.1,"3,9b", ---,"6,1b","11,0a",21.5,24.2,"170,859",12.6,13560.0,5.5,6.1,88.8,39.6,19.8,62.0,18.2,75.2,1.0,5.1,6.1,10.0,-3.9,30.0,53.2,16.8,2.5,23.6,60.9,76.2,23.8,bonafide,40,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4890610111,amenity,cafe,Tienda de Café,-34.5824424,-58.451954,Avenida Federico Lacroze,3694,,,https://www.tiendadecafe.com.ar/,,Mo-Sa 07:00-21:00; Su 08:00-21:00,,CHACARITA,15.0,836539.0,"13,4a",15.6,66.3,62.5,"5,7a","6,0b","5,4b","7,9a",21.4,26.4,"182,551",14.3,12766.0,5.9,6.9,88.0,39.8,16.4,66.5,17.1,68.8,1.0,5.4,7.2,9.7,-2.5,36.1,51.3,12.6,2.1,42.6,46.1,55.9,44.1,tienda de cafe,23,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4913060943,amenity,cafe,Memo Café,-34.5584786,-58.4478604,,,,,,,,,BELGRANO,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,15782.0,7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7,memo cafe,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4917663818,amenity,cafe,Havanna,-34.6203981,-58.3650566,,,Havanna,,,coffee_shop,,,PUERTO MADERO,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,havanna,68,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4925225908,amenity,cafe,Vitto,-34.5759155,-58.4776477,Avenida Álvarez Thomas,2602,,,,,,,VILLA URQUIZA,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,13722.0,7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6,vitto,2,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4929201766,amenity,cafe,Americano,-34.5581919,-58.4476475,,,,,,,Mo-Fr 08:00-20:00; Sa 10:00-20:00,,BELGRANO,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,15782.0,7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7,americano,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4942459476,amenity,restaurant,La Bandurria,-34.577894,-58.4384836,Nicaragua,6078,,,,steak_house,,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,la bandurria,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4942459481,amenity,restaurant,Birkin,-34.5780933,-58.4378654,Nicaragua,6025,,,,sandwich;coffee,Tu-Fr 09:00-21:00; Sa-Su 10:00-21:00,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,birkin,2,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4944505482,amenity,restaurant,Avocado,-34.5776445,-58.4364308,Soler,5987,,,,,,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,avocado,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4952912121,amenity,restaurant,Simple,-34.6008701,-58.3736506,Tucumán,481,,,,,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,simple,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4957534711,amenity,cafe,Havanna,-34.5741501,-58.4857958,Monroe,5044,Havanna,,https://www.havanna.com.ar/,coffee_shop,,,VILLA URQUIZA,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,13722.0,7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6,havanna,68,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4959214971,amenity,nightclub,Lolo,-34.5939949,-58.5043081,Avenida San Martín,6329,,,,,,salón de eventos y lugar para bailar,VILLA DEVOTO,11.0,757726.0,"8,8a",13.3,63.1,58.9,"6,7a", ---,"8,2b","8,2a",28.0,"20,7a","190,195",14.1,13489.0,6.2,6.8,89.6,40.7,19.5,61.8,18.7,75.6,0.9,2.8,5.7,10.5,-4.8,31.2,50.7,18.1,2.2,39.2,48.3,60.8,39.2,lolo,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4964634558,amenity,restaurant,Empanadas Gourmet,-34.5746677,-58.4861506,Avenida Triunvirato,4660,,,https://www.empanadasgourmet.com.ar/,empanada,"Mo-Su 11:00-15:00,19:00-23:00",,VILLA URQUIZA,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,13722.0,7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6,empanadas gourmet,1,False,Folklore y cultura local argentina,,Sin motivo claro / nombre genérico
node,4969532117,amenity,restaurant,Parrilla Galván,-34.5954586,-58.4344682,,,,,,,,,VILLA CRESPO,15.0,836539.0,"13,4a",15.6,66.3,62.5,"5,7a","6,0b","5,4b","7,9a",21.4,26.4,"182,551",14.3,12766.0,5.9,6.9,88.0,39.8,16.4,66.5,17.1,68.8,1.0,5.4,7.2,9.7,-2.5,36.1,51.3,12.6,2.1,42.6,46.1,55.9,44.1,parrilla galvan,1,False,Folklore y cultura local argentina,,Sin motivo claro / nombre genérico
node,4972495223,amenity,restaurant,Urbano,-34.5664175,-58.4946713,Avenida Triunvirato,5700,,,,american,"Mo-We 11:30-15:30,19:30-23:30; Th 11:30-15:30,19:30-23:45; Fr-Sa 11:30-15:30,19:30-00:30; Su 19:30-23:30",,VILLA URQUIZA,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,13722.0,7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6,urbano,2,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4985350218,amenity,cafe,Usina Cafetera,-34.5772614,-58.4815295,Avenida Triunvirato,4307,,,https://www.usinacafetera.com.ar/,,Mo-Fr 08:30-20:00; Sa 09:00-20:00; Su 12:00-20:00,,VILLA URQUIZA,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,13722.0,7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6,usina cafetera,2,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,4995048438,amenity,restaurant,La Crespo,-34.5943794,-58.4417601,Thames,612,,,https://www.lacrespo.com/,european;israeli;eastern_european,"Tu-Fr 11:30-20:00, Sa-Su 11:30-18:00",,VILLA CRESPO,15.0,836539.0,"13,4a",15.6,66.3,62.5,"5,7a","6,0b","5,4b","7,9a",21.4,26.4,"182,551",14.3,12766.0,5.9,6.9,88.0,39.8,16.4,66.5,17.1,68.8,1.0,5.4,7.2,9.7,-2.5,36.1,51.3,12.6,2.1,42.6,46.1,55.9,44.1,la crespo,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,5004122492,amenity,restaurant,Resto Golf,-34.6820663,-58.4542725,Avenida Coronel Roca,5025,,,,regional;pizza;steak_house;international;burger;coffee_shop;sandwich;chicken;ice_cream;american,,,VILLA LUGANO,8.0,401724.0,37.9,46.1,55.0,49.5,"10,0a","8,5a","11,8a",12.3,23.6,41.0,"230,623",22.5,10250.0,7.5,10.9,93.5,31.8,28.9,60.3,10.8,73.9,1.3,7.2,9.2,6.3,2.9,27.6,42.6,29.8,3.5,13.2,49.0,86.4,13.6,resto golf,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
