name,regex_label
Atalaya,Sin motivo claro / nombre genérico
Atalaya,Sin motivo claro / nombre genérico
Atalaya,Sin motivo claro / nombre genérico
Atelier Fuerza,Sin motivo claro / nombre genérico
Atenea,Sin motivo claro / nombre genérico
Athambra,Sin motivo claro / nombre genérico
Athos,Sin motivo claro / nombre genérico
Atilano,Sin motivo claro / nombre genérico
Atis,Sin motivo claro / nombre genérico
Atlas Liniers,Sin motivo claro / nombre genérico
Atlántica Libros,Sin motivo claro / nombre genérico
Auditorio de SADOP,Sin motivo claro / nombre genérico
Auslander,Sin motivo claro / nombre genérico
Avant Garten,Sin motivo claro / nombre genérico
Avellino,Sin motivo claro / nombre genérico
Avenida,Sin motivo claro / nombre genérico
Avila,Sin motivo claro / nombre genérico
Avocado,Sin motivo claro / nombre genérico
Awen,Sin motivo claro / nombre genérico
Ayacucho Hotel Bar,Sin motivo claro / nombre genérico
Azara,Sin motivo claro / nombre genérico
Azara Pizzeria,Sin motivo claro / nombre genérico
Azul Café,Sin motivo claro / nombre genérico
B&B,Sin motivo claro / nombre genérico
B-Blue,Sin motivo claro / nombre genérico
BASA,Sin motivo claro / nombre genérico
BFresh,Sin motivo claro / nombre genérico
BNA Banca Digital,Sin motivo claro / nombre genérico
BUNA Cafe de Especialidad,Sin motivo claro / nombre genérico
Babalú,Sin motivo claro / nombre genérico
Babieca,Sin motivo claro / nombre genérico
Bacara,Sin motivo claro / nombre genérico
Backroom Bar,Sin motivo claro / nombre genérico
Bagels & Bagels,Sin motivo claro / nombre genérico
Bagels&Bagels,Sin motivo claro / nombre genérico
Baires Bakery,Sin motivo claro / nombre genérico
Baires Bakery,Sin motivo claro / nombre genérico
Bajan,Sin motivo claro / nombre genérico
Bakano Pizza,Sin motivo claro / nombre genérico
Bakano Pizza,Sin motivo claro / nombre genérico
Bakano Pizza,Sin motivo claro / nombre genérico
Bakano Pizza,Sin motivo claro / nombre genérico
Bakery,Sin motivo claro / nombre genérico
Bakery,Sin motivo claro / nombre genérico
Bakery,Sin motivo claro / nombre genérico
Bakery,Sin motivo claro / nombre genérico
Balcarce,Sin motivo claro / nombre genérico
Balcarce,Sin motivo claro / nombre genérico
Baltha,Sin motivo claro / nombre genérico
Bambi,Sin motivo claro / nombre genérico
Bambino,Sin motivo claro / nombre genérico
Banchero,Sin motivo claro / nombre genérico
Bandido,Sin motivo claro / nombre genérico
Bandini Pizzas,Sin motivo claro / nombre genérico
Bandol,Sin motivo claro / nombre genérico
Bankedo Plaza,Sin motivo claro / nombre genérico
Baos,Sin motivo claro / nombre genérico
Bar,Sin motivo claro / nombre genérico
Bar,Sin motivo claro / nombre genérico
Bar & Heladerías,Sin motivo claro / nombre genérico
Bar Argerich,Sin motivo claro / nombre genérico
Bar Arizona,Sin motivo claro / nombre genérico
Bar BQ,Sin motivo claro / nombre genérico
Bar Broa,Sin motivo claro / nombre genérico
Bar Bulldog,Sin motivo claro / nombre genérico
Bar Café La Humedad,Sin motivo claro / nombre genérico
Bar Colage,Sin motivo claro / nombre genérico
Bar Conde,Sin motivo claro / nombre genérico
Bar Ecuador,Sin motivo claro / nombre genérico
Bar El Coloñal,Sin motivo claro / nombre genérico
Bar El Destello,Sin motivo claro / nombre genérico
Bar El Faro,Sin motivo claro / nombre genérico
Bar Flux,Sin motivo claro / nombre genérico
Bar Helado,Sin motivo claro / nombre genérico
Bar Iberia,Sin motivo claro / nombre genérico
Bar La Cigale,Sin motivo claro / nombre genérico
Bar La Norita,Sin motivo claro / nombre genérico
Bar Osvaldo,Sin motivo claro / nombre genérico
Bar Ping Pong,Sin motivo claro / nombre genérico
Bar Restaurant,Sin motivo claro / nombre genérico
Bar Seddon,Sin motivo claro / nombre genérico
Bar Setenta y Siete,Sin motivo claro / nombre genérico
Bar Sheldon,Sin motivo claro / nombre genérico
Bar Soria,Sin motivo claro / nombre genérico
Bar Sur,Sin motivo claro / nombre genérico
Bar Tucumán,Sin motivo claro / nombre genérico
Bar de Bandera,Sin motivo claro / nombre genérico
Bar de Cao,Sin motivo claro / nombre genérico
Bar the Bar,Sin motivo claro / nombre genérico
Bar y Vermú La Fuerza,Sin motivo claro / nombre genérico
Bar! Merci,Sin motivo claro / nombre genérico
Barba Azul,Sin motivo claro / nombre genérico
Barba Roja,Sin motivo claro / nombre genérico
Barbaro,Sin motivo claro / nombre genérico
Barbieca,Sin motivo claro / nombre genérico
Barev,Sin motivo claro / nombre genérico
Barfly,Sin motivo claro / nombre genérico
Barine,Sin motivo claro / nombre genérico
Baris Cerveca artesanal,Sin motivo claro / nombre genérico
Barra Chalaca,Sin motivo claro / nombre genérico
Barragán,Sin motivo claro / nombre genérico
Barraza,Sin motivo claro / nombre genérico
Barro Café,Sin motivo claro / nombre genérico
Bartola,Sin motivo claro / nombre genérico
Bartola,Sin motivo claro / nombre genérico
Bartola,Sin motivo claro / nombre genérico
Barú,Sin motivo claro / nombre genérico
Barú,Sin motivo claro / nombre genérico
Basilico,Sin motivo claro / nombre genérico
Basta Callejón,Sin motivo claro / nombre genérico
Bastardo,Sin motivo claro / nombre genérico
Baum,Sin motivo claro / nombre genérico
Baum,Sin motivo claro / nombre genérico
Bautista,Sin motivo claro / nombre genérico
Baviera,Sin motivo claro / nombre genérico
Bebop Club,Sin motivo claro / nombre genérico
Beckett,Sin motivo claro / nombre genérico
Beer Conect,Sin motivo claro / nombre genérico
Beercoin,Sin motivo claro / nombre genérico
Beio,Sin motivo claro / nombre genérico
Beio,Sin motivo claro / nombre genérico
Bejas,Sin motivo claro / nombre genérico
Belgica,Sin motivo claro / nombre genérico
Belier,Sin motivo claro / nombre genérico
Belisario,Sin motivo claro / nombre genérico
Bella,Sin motivo claro / nombre genérico
Bella Tarea,Sin motivo claro / nombre genérico
Bellaria,Sin motivo claro / nombre genérico
Bellaria,Sin motivo claro / nombre genérico
